LAT,LAT_D,LONG,LONG_D,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,N,115,E,,,,,,,,,,,,,,,,,,,,
0,N,120,E,2904.192,4322.22,3248.904,4340.112,4058.808,4398.324,4093.02,3854.328,4085.04,5355.084,3355.611,3698.412,3978.864,4672.272,6037.14,4943.53,5812.596,4403.196,4538.268,6514.02
0,N,125,E,3859.05,5838.864,4436.647,5843.273,5513.499,5926.117,5535.556,5175.289,5504.084,7077.144,4300.632,4870.956,5430.183,6167.448,7601.832,6432.744,7642.272,5834.412,6026.676,8648.364
0,N,130,E,3755.588,3987.092,3732.6,4597.482,3821.836,3170.368,4578.595,4738.462,4216.586,4523.745,3228.806,3808.34,6137.313,4109.834,4469.71,3800.786,3138.946,3242.491,2516.315,2942.973
0,N,135,E,1270.819,2452.601,2180.62,1389.178,2288.139,1568.044,1365.331,967.777,427.35,1028.472,1273.668,1831.411,4600.736,2083.889,2916.117,837.702,948.643,6038.871,4941.25,4150.256
0,N,140,E,1095.655,1016.687,1464.164,1632.056,1610.12,2904.927,2423.552,808.886,481.1,484.604,435.505,650.861,1099.408,1252.962,1024.056,349.903,607.77,3173.421,1957.024,1851.359
0,N,145,E,1640.045,1152.519,2253.983,3170.084,2075.567,2333.428,3150.155,3732.4,1865.614,2096.179,1173.492,1606.822,1870.053,1824.065,2214.949,1156.872,1044.778,1288.111,1063.431,1366.888
0,N,150,E,2994.752,2528.616,3907.7,3889.722,2943.446,2710.126,3768.672,3465.836,2977.161,2074.509,2616.213,2516.223,1685.015,1342.712,1736.429,966.713,1090.167,1651.235,1669.205,1795.477
0,N,155,E,3253.326,4214.632,3056.351,2103.799,2177.691,3303.458,3043.801,2324.76,1775.878,1666.894,1134.508,1276.682,2088.72,1554.628,3125.44,981.73,2068.013,2008.757,2244.779,3412.981
0,N,160,E,2145.987,2545.967,2519.063,1717.033,2166.599,1228.381,3354.115,1363.409,1404.755,855.853,654.203,719.079,424.883,557.817,1390.024,918.697,1515.471,1403.384,1172.002,2232.801
0,N,165,E,1581.825,4250.537,1160.395,568.542,1881.67,631.798,2235.657,1143.4,813.562,1051.511,1333.398,1738.718,1446.574,228.964,1880.303,974.393,1463.054,1654.849,2442.442,2677.641
0,N,170,E,2362.529,3001.065,907.87,142.794,1565.698,615.95,2492.165,2702.89,1075.719,1043.744,500.749,887.665,543.598,213.861,1565.217,1308.724,1863.257,1641.632,1244.114,1837.271
0,N,175,E,2015.089,5303.548,6983.258,4896.457,3246.434,1961.456,1531.812,5153.77,1562.82,3535.813,2289.392,2746.372,1677.811,1153.486,2050.069,2541.717,761.166,1621.477,1772.232,1260.202
0,N,155,W,1417.712,1487.765,1854.075,971.275,1446.893,2536.83,2374.521,2535.453,1394.407,7530.572,1632.096,1924.882,2379.242,1464.21,2315.113,1273.759,2161.549,1900.041,900.866,1688.763
0,N,160,W,1330.564,1587.178,1328.294,649.81,1259.113,2907.707,1645.082,1230.466,1236.506,3419.069,782.809,1676.387,992.406,2983.47,2330.74,920.431,2395.859,2983.14,928.539,1170.622
