lat,lat_dir,long,long_dir,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,N,115,E,,,,,,,,,,,,,,,,,,,,
0,N,120,E,0.032960653,0.029203963,0.027181473,0.028966134,0.025447048,0.024402681,0.023315461,0.019857323,0.022040784,0.021937499,0.027304014,0.025799637,0.021773319,0.023770176,0.021186495,0.02037051,0.02282663,0.021566935,0.026238593,0.024102525
0,N,125,E,0.033045615,0.029383719,0.02767304,0.029249671,0.025706882,0.024625293,0.023371498,0.019805017,0.021918092,0.021937464,0.027498173,0.025799705,0.022044805,0.023770063,0.021268559,0.020472902,0.022826589,0.021566871,0.026238584,0.024108534
0,N,130,E,0.044007996,0.036717237,0.034648356,0.036102084,0.029080005,0.028181774,0.028449811,0.021723927,0.023751316,0.025075965,0.029497163,0.027875853,0.027815041,0.029584848,0.026949602,0.024736819,0.025786228,0.02565934,0.030226333,0.025104817
0,N,135,E,0.042722543,0.035128168,0.040115973,0.033070514,0.027955981,0.032679494,0.028007511,0.02136808,0.027641914,0.025313198,0.026766931,0.027284394,0.027903033,0.030422998,0.026952932,0.027011156,0.039589353,0.030091148,0.049039861,0.03226637
0,N,140,E,0.039484533,0.03277901,0.03381013,0.032081399,0.034312543,0.031860677,0.026236984,0.017124737,0.018469248,0.014839199,0.023554307,0.025123847,0.018080167,0.029300597,0.031810676,0.029751175,0.034299199,0.033762082,0.033314595,0.034823161
0,N,145,E,0.042037869,0.03167849,0.034505427,0.036856275,0.029993872,0.030418222,0.023969237,0.019010345,0.019772613,0.017491607,0.023974974,0.022939034,0.017628934,0.021645439,0.028158421,0.032266409,0.034131145,0.026851759,0.030668707,0.045398037
0,N,150,E,0.044479369,0.045769594,0.05015506,0.048365104,0.035370568,0.029602528,0.024271009,0.02638101,0.027604621,0.021101071,0.04377325,0.043550029,0.036786767,0.033075674,0.03022625,0.036483157,0.034977968,0.028954015,0.048496733,0.051745428
0,N,155,E,0.041347523,0.041145686,0.046872464,0.041140389,0.038189039,0.029764556,0.028245338,0.033052214,0.041817787,0.032654667,0.055636482,0.034195684,0.033892089,0.028435235,0.027794644,0.026629801,0.028617243,0.02431708,0.045656597,0.044333165
0,N,160,E,0.039718096,0.053349645,0.049466541,0.040047904,0.027890294,0.026495715,0.033603414,0.044638969,0.039653321,0.04469852,0.044339005,0.041635207,0.032213785,0.020442868,0.023531887,0.028021557,0.025692758,0.023446069,0.032601705,0.039735594
