lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,N,105,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,110,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,115,E,,,,,,,,,,,,,115.055,,,,,,157.137,,,,,,,317.622,,,,72.167,92.234,348.372,,,,,,,,,,,,,,,,
0,N,120,E,,,143.179,,,,,,,,,,398.706,362.988,229.655,322.773,,,136.523,399.926,525.252,563.448,605.676,697.368,818.2,2154.713,823.46,1189.188,2044.862,2476.045,1902.2,2627.3,1969.807,2077.212,1718.76,2030.496,2242.908,3293.028,3231.42,3446.784,2220.828,2261.88,2619.828,2526.54,2731.044,2904.192,4322.22,3248.904
0,N,125,E,,,,,,,,303.291,379.92,184.575,230.505,295.699,847.095,96.027,,206.595,187.494,,,113.782,569.222,564.786,607.388,698.679,787.069,1260.528,727.415,1192.838,1483.398,2249.401,2904.964,2139.962,2167.214,2414.068,2208.888,2437.028,2668.048,3880.291,4006.445,4127.334,3045.048,3014.938,3512.194,3404.667,3580.86,3859.05,5838.864,4436.647
0,N,130,E,,,1288.488,1005.383,294.425,,675.463,,2172.874,1760.747,1784.994,2356.122,1538.329,1394.568,947.667,1525.713,2269.523,1525.468,1751.538,1536.588,1679.482,1770.836,875.41,3013.068,3709.786,3873.854,5008.745,3437.416,4844.087,6659.414,5650.344,3870.605,2477.83,2835.235,2729.744,2272.232,1884.1,2558.113,2927.786,2861.673,4084.256,2997.213,4403.365,3383.012,3368.624,3755.588,3987.092,3732.6
0,N,135,E,202.405,,2615.341,634.878,736.806,589.292,825.375,191.396,458.532,793.574,1873.675,2529.884,2427.677,2716.191,652.263,1293.139,1111.757,768.891,1617.634,155.848,492.309,54.402,425.893,1304.866,1840.401,1331.333,2293.387,1619.322,3634.376,3354.103,3902.211,2280.181,566.183,2679.852,1078.073,1116.772,434.745,344.942,666.431,2189.572,2465.758,1254.054,1391.341,2067.442,2167.669,1270.819,2452.601,2180.62
0,N,140,E,197.664,,1609.751,91.459,923.054,1071.127,1635.325,1101.093,919.309,316.785,2302.364,1717.599,1071.35,1905.637,382.34,1618.459,1126.097,831.004,464.263,1654.66,380.823,984.048,2355.503,1704.981,2087.034,2158.959,2257.213,4201.418,5587.712,3964.723,3306.114,1574.333,1347.429,2525.041,2164.738,3267.14,649.153,671.581,992.711,1642.294,2516.82,1452.151,1583.848,1564.069,2083.925,1095.655,1016.687,1464.164
0,N,145,E,392.011,157.345,462.212,,95.157,704.012,690.061,547.679,1132.929,105.815,565.415,2166.546,516.778,1223.613,376.364,1405.525,1337.717,748.783,237.278,814.652,432.268,1532.227,1068.57,2089.54,1648.895,1217.264,1832.776,2782.24,3557.716,4807.033,5194.296,2104.879,2221.685,2404.862,2739.245,4057.484,1628.155,1604.235,1637.228,2738.993,3543.272,1934.029,2543.949,2206.49,3233.338,1640.045,1152.519,2253.983
0,N,150,E,437.752,491.759,,467.268,264.364,1015.604,1227.05,1229.469,1700.644,363.1,1006.497,4277.022,1068.841,3125.275,996.332,1183.573,2030.782,1344.493,171.017,1955.431,282.209,1390.284,1906.921,1493.157,492.48,555.369,885.07,4001.398,3435.942,5381.255,7246.309,3612.334,2942.901,1279.616,2324.979,3233.162,1651.743,1570.167,1504.024,2081.295,4903.9,1508.145,2454.223,2730.445,5335.731,2994.752,2528.616,3907.7
