lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
0,N,105,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,110,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,115,E,,,,,,,,,,,,,957.95,,,,,,844.76,,,,,,,3505.43,,,,1031.53,1076.44,4738,,,,,,,,,,,,,,,,,
0,N,120,E,,,1346.12,,,,,,,,,,3649.37,2842.62,1737.86,2559.32,,,1026.83,5133.34,23090.19,23840.99,34920.23,18257.41,22272.16,42014.83,33489.05,54814.68,64563.81,90712.39,69648.43,117817.64,159577.05,266940.69,153359.27,277206.26,342423.58,633157.85,430444.78,355875.75,202873.9,199520.22,243321.92,166969.5,82760.51,92018.81,150292.8,122274.4,158415.69
0,N,125,E,,,,,,,,3111.11,2322.86,1570.48,3177.6,2776.81,8088.07,843.17,,2226.43,1768.15,,,1202.43,24331.78,23994.25,35157.7,18443.85,21619.13,34834.74,32320.08,55473.43,58827.5,88656.18,88889.22,125874.42,183371.74,310481.79,189051.89,332801.72,407130.08,726807.91,509377.31,418838.86,270034.09,262626.86,321486.8,221058.67,108512.75,122030.45,201532.05,163787.15,211096.47
0,N,130,E,,,10634.91,7035.8,1939.75,,4296.48,,10545.69,10893.93,8262.78,17266.44,13067.14,9743.92,7272.48,10451.75,16619.95,21252.95,15865.61,21524.97,35808.53,23514.02,29374.43,40795.39,39476.61,82743.52,96094,103067.84,130570.02,183498.38,134248.43,142099.36,114336.21,180013.41,145320.16,217091.95,178071.61,251873.03,194598.03,174653.26,246118.02,175240.06,247221.55,168067.87,80268.79,83797.41,106962.84,99825.57,123563.82
0,N,135,E,1476,,17881.09,3488.34,4510.32,4523.83,6255.74,1703.66,2917.91,5712.8,11636.58,22230.97,30740.08,23790.66,6275.51,15439.66,10363.88,16672.34,20429.65,8567.22,13869.18,8862.63,20952.31,26487.62,34204.4,57729.55,64930.09,70254.98,95778.41,118589.51,99448.22,87640.61,49299.93,122725.78,71948.76,129069.65,75366.11,105913.47,81802.24,97147.91,143931.64,93175.49,113280.33,112487.7,61505.55,29937.39,70378.69,51265.49,36023.18
0,N,140,E,1952,,11873.78,1043.42,6655.02,8683.39,12326.38,10353.74,4983.79,2726.62,14566.37,15634.77,14231.38,21302.9,4585.37,19349.34,11921.36,21614.75,7081.73,29758.69,18539.74,27299.26,53456.85,35654.37,51847.89,93098.34,95710.55,128946.85,146100.44,165367.17,112141.34,95554.39,80737.95,160230.25,114945.19,200043.29,112770.29,149145.78,111861.89,123194.65,179104.91,116882.58,141434.6,103537.77,53032.08,26043.36,29766.66,40689.25,47907.09
0,N,145,E,4041,1829,4054.17,,1829.54,5360.2,6287.65,6617.97,8998.72,1278.32,3782.02,22330.68,7715.83,14470.75,3890.96,15056.41,18877.66,28580.33,8699.35,31301.42,30909.74,49269.32,60500.31,53710.41,57583.74,119799.45,133511.55,173877.43,210239.09,261870.24,191501.89,146563.4,132407.58,231531.12,165284.7,302418.09,194971.43,252645,181718.38,201645.74,294728.47,183958.52,235145.73,150516.93,73059.84,34912.27,33904.36,64789.59,90736.76
0,N,150,E,4526,4464,,2456.59,3399.27,8317.64,8939.84,10775.65,13277.02,3335.33,7062.45,37745.95,13893.65,30905.72,10041.91,12491.51,22617.72,29408.81,6310.79,36633.32,21124.73,39691.15,60241.73,36292.47,27760.15,84788.98,94068.92,148339.1,175530.55,231367.41,198403.68,144712.01,115693.2,162733.88,121413.18,216406.1,139948.11,186533.83,133418.96,143138.1,244579.16,132407.23,178738.77,125349.91,108391.24,60701.88,53403.35,76746.21,84948.07
