,,,,Hundred Hooks,,,,,,,,,,,,,,,,,,,
LAT,LAT_D,LONG,LONG_D,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,N,115,E,,,,,,,,,,,,,,,,,,,,
0,N,120,E,92018.81,150292.8,122274.4,158415.69,162554.03,188173.18,179781.01,198914.51,190912.84,247154.64,124560.51,145905.34,188362.95,206900.6,288687.03,246522.15,258053.34,216045.99,179017.53,274822.3
0,N,125,E,122030.45,201532.05,163787.15,211096.47,218690.27,251179.82,243129.84,268219.68,259932.37,326633.86,158384.48,192162.64,253490.02,273112.26,363281.28,320249.41,339283.4,286270.48,237729.68,364777.95
0,N,130,E,83797.41,106962.84,99825.57,123563.82,129453.04,111051.14,172462.02,222478.55,195538.71,178797.84,107891.48,135491.09,224022.23,134070.29,163567.61,151748.86,121074.53,129304.41,84431.17,118397.07
0,N,135,E,29937.39,70378.69,51265.49,36023.18,83399.69,48160.39,42884.83,38926.91,15388.33,39129.95,45597.14,70632.56,160029.23,60981.1,106382.44,29669.24,24217.88,197743.59,103425.71,130667.79
0,N,140,E,26043.36,29766.66,40689.25,47907.09,45045.44,89931.33,88006.79,49716.64,27138.13,33383.58,18246.62,23064.12,62363.7,40156.82,35155.87,12168.99,17448.06,80465.63,57245.36,53956.16
0,N,145,E,34912.27,33904.36,64789.59,90736.76,65610.3,75093.97,134772.28,205308.44,91761.87,116779.74,48223.58,65176.99,109179.82,82376.97,81890.4,34595.4,31843.06,44885.17,37734.27,31593.49
0,N,150,E,60701.88,53403.35,76746.21,84948.07,80052.03,87002.28,149019.37,134862.86,106067.05,91198.53,42104.84,55545.64,43280.53,37498.04,51422.77,25371.07,29332.05,54199.5,34399.56,36103.49
0,N,155,E,73961.96,106241.52,63634.72,49969.02,50479.86,99134.93,108016.15,74794,41139.38,45207.5,19125.25,33135.88,59289.27,48171.98,112015.53,38081.84,72656.13,80168.76,50462.03,73589.1
0,N,160,E,49570.68,50664.12,52418.41,45928.26,75827.26,43023.95,102749.17,32831.78,32906.76,19545.8,14034.97,18187.62,13203.6,36648.17,57728.58,32450.67,59514.21,57372.84,34874.94,54369.09
0,N,165,E,31414.38,79756.64,26677.89,13770.7,33630.13,17635.48,36352.45,25229.06,25004.41,24749.02,52471.06,67339.95,70277.16,8559.65,79237.64,41694.37,45064.36,74701.95,84119.35,67018.85
0,N,170,E,44346.14,37528.84,14208.04,2247.54,25085.43,15980.54,46919.72,53116.23,33854.48,22624.11,13821.17,22932.92,19896.15,8503.84,41070.16,38452.09,52732.13,54523.8,47397.96,49234.94
0,N,175,E,42449.44,62160.63,82089.25,64199.83,64474.76,45184.53,34679.21,146842.46,46439.74,77186.87,67304.76,61317.95,43530.3,38502.4,58279.73,72727.12,25084.55,58923.35,59957.08,36131.73
0,N,155,W,41075.31,34276.49,26213.4,15525.65,35422.59,59868.85,54338.17,59694.53,36302.93,171440.68,41685.56,42811.28,56131.18,38847.84,51048.48,40066.08,68986.19,52778.73,31928.17,38284.28
0,N,160,W,33403.71,36370.63,21556.1,13739.17,37037.93,64446.35,44025.48,68301.68,29362.56,77330.6,22540.71,36778.82,22481.24,67168.31,53302.74,25256.97,66587.26,73292.03,29933.85,24285.83
0,N,165,W,9703.22,17767.59,14848.82,8784.44,28373.13,31345.18,29586.06,37663.3,17806.62,52415.74,28037.66,18764.88,12614.25,21818.9,17822.37,16053.01,56402.9,35565.86,28509.45,23897.1
0,N,170,W,36647.35,19558,24554.99,55209.95,60945.03,31481.3,44021.84,59540.01,33893.9,74651.24,57042.48,29083.08,52125,38997.55,20114.59,40525.72,52485.73,29012.92,30232.15,14007.59
0,N,175,W,48388.98,28344.66,26548.64,43136.56,43052.55,27462.61,13011.92,47700.29,30851.32,62842.59,71569.93,35444.63,23625.81,52544.56,41756.97,76132.52,35764.16,28224.61,29763.86,30134.36
0,N,180,W,11601.91,4509.66,4141.63,9657.52,8466.87,5448.84,5251.67,28639.76,10178.59,18359.08,30458.5,12127.89,17973.45,13964.88,17592.68,24318.16,2988.9,17217.15,15604.5,4310.25
5,N,105,E,,,,,,,,,,,,,,,,2324.39,,,,
5,N,110,E,9156.85,11330.7,13020.42,12223.3,13156.57,10641.13,17811.16,16908.79,13399.06,,,,,,3309.26,,2778.35,,,
5,N,115,E,,,,,,,,,,,,,1384.47,3756.57,2078.56,11179.9,22012.52,3623.99,,
5,N,120,E,1090.27,1098.11,1345.18,1001.1,1750.82,1170.33,2885.06,2153.89,1362.19,,4094.7,,3188.47,1617.4,2502.05,7227.36,12403.02,,,
5,N,125,E,33579.12,33363.84,51290.61,30447.63,45520.68,43427.23,65407.34,53517.77,51206.93,1025.05,,18863.62,9576.22,,24034.24,3861.54,15218.9,24032.64,21623.23,29194.99
5,N,130,E,92059.91,99753.97,118100.88,80386.6,219877.7,158952.07,209106.1,217818.9,173638.96,48182.78,91377.59,169046.33,105047.61,111738.84,66668.89,22536.1,36078.1,71497.01,69787.09,55859.24
5,N,135,E,151045.45,63307.41,34677.2,33559.33,200098.23,199892.4,91833.27,55787.77,64995.69,36244.06,92392.3,152186.09,111727.47,159614.57,65505.55,16005.93,32691.8,87044.14,42757.87,69140.63
5,N,140,E,108739.94,42880.03,26906.61,34817.91,48138.57,54532.32,39265.02,21986.1,32309.42,40193.28,27719.25,54540.89,37786.09,67364.28,12485.44,2332.21,19509.94,21607.39,12852.93,10025.48
5,N,145,E,54981.09,30251.81,32613.42,50164.43,47509.81,55437.84,60321.79,59384.17,96782.34,77439.67,52741.51,79779.6,39209.96,64184.62,27501.8,12799.1,17793.71,21737.1,9624.84,14218.6
5,N,150,E,93108.6,25088.71,36470.09,30047.79,62641.47,42908.18,35477.1,53603.74,73737.72,48331.45,23184.57,38577.39,49192.23,27315.13,13157.34,15731.19,6138.21,15542.43,9078.95,10403.77
5,N,155,E,203041.17,116426.09,57943.58,68564.12,123904.57,130490.53,68476.73,61158.1,114059.42,59534.45,18063.75,45957.98,79740.22,96701.42,76678.22,44528.72,48994.17,44949.14,23601.07,21011.52
5,N,160,E,63246.44,21033.82,13321.13,18728.41,65095.09,22986.88,15721.03,8440.88,18683.15,13719.37,23401.37,27377.13,18259.76,12838.26,13724.12,32060.17,40397.76,19500.18,7058.13,24381.87
5,N,165,E,39853.6,48893.76,19054.16,15231.11,16114.55,6958.48,8749.92,32500.48,39274.63,58031.65,33526.87,38405.34,53065.3,85408.24,109740.4,47688.31,65626.99,80874.07,56904.14,65941.69
5,N,170,E,42952.92,58061.29,44811.98,20922.25,7446.75,11153.17,28386.1,25522.92,17262.74,37339.73,25987.03,27653.79,56847.27,25907.01,3637.67,85127.2,57457.97,69681.18,37779.39,23375.16
5,N,175,E,10728.78,29454.68,79771.66,60057.23,26240.6,47985.24,41466.24,53631.25,58394.73,57128.52,50315.67,12478.47,22836.59,25013.73,31297.29,35311.43,16215.27,48809.23,47837.88,37960.79
5,N,155,W,41552.26,14981.49,8675.7,39839.73,48950.83,40956.74,34137.43,16294.3,73095.1,26756.47,13844.49,17820.48,18054.42,973.38,6686.59,20713.96,11647.4,10438.87,801.9,4141.32
5,N,160,W,37772.63,29211.44,27447.95,36654.37,54243.87,37929.67,24708.17,28343.85,50393.24,35101.23,53681.49,23429.34,15899.98,11536.67,5778.79,15344.21,14305.64,9523.87,1045.09,987.3
5,N,165,W,810.2,1735.24,976.77,18916.72,13023.43,21699.98,12631.56,21173.17,6238.72,8942.36,3255.83,6993.46,13740.31,5434.08,3602.63,6676.85,26838.59,6344.75,1330.72,3919.22
5,N,170,W,15097.14,9852.11,6068.35,55842.31,11517.54,16074.14,13430.76,17136.54,32066.69,20219.76,25276.55,12279.28,30216.41,22107.72,11200.62,18232.78,17880.04,7884.28,14537.59,2439.32
5,N,175,W,18473.39,22091.71,3182.99,37661.29,9686.97,11732.33,7421.58,27868.59,43481.19,27848.15,33763.04,12937.9,21404.09,26759.8,14034.28,31162.11,4593.78,20205.44,20298.17,4173.67
5,N,180,W,17237.78,15469.07,5847.38,22861.14,7181.41,11831.78,12180.53,23454.98,19970.18,22260.92,38134.72,8416.66,10392.31,29130.94,25444.56,28247.45,7399.85,37111.62,40045.46,10073.32
10,N,105,E,,,,,,,,,,,,,,,,,,,,
10,N,110,E,26238.71,22905.62,34103.39,32208.79,37111.8,138899.49,173770.27,172217.05,148468.12,170696.07,129081,154223.04,204913.43,185257.46,184857.23,176431.41,201201.14,261412.81,206864.94,169010.71
10,N,115,E,38858,40019.28,59797.24,54678.36,59594.39,143209.71,197184.7,187497.87,172562.32,170696.07,129081,154223.04,210619.1,194385.24,223306.61,193409.44,217108.42,262236.51,210680.9,169010.71
10,N,120,E,,,,,,,,,,,,,,,,13742.49,2489.46,,,
10,N,125,E,44991.16,49587.72,89401.08,56181.57,61943.32,68068.35,151194.74,97036.28,96382.33,18379.69,5155.73,2719.89,11044.95,3014.44,6215.73,15364.19,10043.65,8878.98,7274.19,12278.4
10,N,130,E,43053.16,52417.86,40592.53,19336.82,23709.17,16181.58,38635.56,36006.83,54208.85,47002.27,41562.63,37434.85,72564.9,68297.79,49908.15,68698.9,87463.84,54565.09,44001.43,59816.43
10,N,135,E,30736.21,8653.36,9469.62,7534.74,3129.38,1863.55,1471.24,1784.26,5407.25,7773.74,6902.23,4686.84,33442.1,36035.95,35841.22,27781.94,35205.39,33737.49,22891.88,15516.59
10,N,140,E,32656.38,13197.8,7085.65,12705.8,2833.46,7659,,,13178.81,7159.44,5429.77,8905.37,2352.87,10203.99,6777.72,4509.56,10729.12,12246.19,3282.54,5000
10,N,145,E,40230.13,22650.4,12389.01,24784.19,11534.46,13789.69,,7897.1,30767.4,25696.57,15767.76,17126.93,10352.17,928.07,14424.36,4051.75,,4945.64,821.66,815.24
10,N,150,E,36382.05,7620.01,8162.02,30108.99,13419.24,10662.66,7231.73,3426.5,16163.84,19775.67,14018,7164.47,18918.61,14208.48,86578.01,13652.53,21325.03,37302.65,28877.51,10945.74
10,N,155,E,15121.88,4044.23,2600.46,8978.46,9802.37,11877.39,7730.99,4177.16,6443.4,11369.94,5058.67,4018.78,13608.84,25750.49,88252.97,49601.25,58968.88,86839.5,119555.68,40957.97
10,N,160,E,7311.12,4486.71,1902.48,2857.14,6880.09,,,,5037.28,3301.29,,1277.28,2132.18,,,1868.29,5302.89,6995.26,4167.63,6273.11
